VIEW,ID(0.0.1),en,优先级
,single_backup_setpass_desc,This Password will be used to unlock your wallet and sign transactions.,
,single_backup_repeatpin_title,Repeat the PIN Code,
,single_backup_repeatpin_desc,Repeat and confirm the PIN code you ve just typed.,
,single_backup_repeatpin_error,PIN code does not match,
,single_backup_repeatpass_title,Repeat the Password,
,single_backup_repeatpass_desc,Repeat and confirm the Password you ve just typed.,
,single_backup_namewallet_title,Name Your Wallet,
,single_backup_namewallet_desc,Give your wallet a name and choose an icon to make your wallet discernible.,
,single_backup_namewallet_previntput,Wallet Name,
,single_backup_choose_backup_title,Choose Backup Method,
,single_backup_choose_backup_desc,Choose the method you’d like to backup your seed phrase,P0
,single_backup_single_phrase_title,Standard Seed Phrase,P0
,single_backup_single_phrase_desc,With a 12 or 24 seed phrase backup. Most commonly used method,P0
,single_backup_shamir_title,Shamir Backup,
,single_backup_shamir_desc,Backup your seed phrase with higher security level.,P0
,single_backup_learn_more_title,What is Shamir Backup?,
,single_backup_learn_more_desc,Shamir backup is a high-security method to  seed phrase. It splits the seed phrase into multiple pieces and determines how many pieces are needed to restore the phrase. You can control how many individuals need to be involved in order to restore the backup to the entire seed phrase.,P0
,single_backup_learn_more_link,Learn More,
,single_backup_learn_more_qr_title,What is Shamir Backup?,
,single_backup_learn_more_qr_link,https://keyst.one/b/3rd/shamir,
,single_backup_notice_title,Check Your Surroundings,
,single_backup_notice_desc1,Anyone with your seed phrase has full access to your cryptocurrency. ,P0
,single_backup_notice_desc2,Please make sure there are no onlookers or cameras when you record your seed phrase.,P0
,single_backup_phrase_regenerate,Regenerate,P0
create wallet/phrase,single_phrase_title,Backup Your Phrase,
,single_phrase_desc,Write down your seed phrase in the card and keep it properly,
,single_phrase_word_amount_select,Phrase Words Amount,
,single_phrase_12words,12 Words,
,single_phrase_24words,24 Words,
,single_phrase_confirm_title,Confirm Your Phrase,
,single_phrase_confirm_desc,Tap words below in the order of your Seed phrase to confirm that you have kept it properly.,P0
,single_phrase_reset,Reset,
,single_phrase_not_match_title,Phrase does not match,
,single_phrase_not_match_desc,The phrase order is incorrect. Please check your backup and try again,
,single_phrase_low_battery_tilte,Low Battery,
,single_phrase_low_battery_desc,The device requires at least 20% power to continue the process,
createing wallet,create_wallet_generating_title,"Creating Wallet, Keep Screen ON",
,create_wallet_generating_desc,Writing Secure Element...,
SSB,shamir_phrase_number,Number of shares,
,shamir_phrase_threold,Threshold,
,shamir_phrase _desc,Shamir Backup,
,shamir_phrase_custodian_title,Share,
,shamir_phrase_custodian_desc,Please confirm you are the custodian of the share,
,shamir_phrase_notice_title,Check Your Surroundings,
,shamir_phrase_notice_desc1,Anyone with your seed phrase has full access to your cryptocurrency. ,P0
,shamir_phrase_notice_desc2,Please make sure there are no onlookers or cameras when you record your seed phrase.,P0
,shamir_phrase_backup_title,Backup Your Phrase,
,shamir_phrase_backup_desc,Write down your share 1 phrase and keep it properly.,
,shamir_phrase_confirm_title,Confirm Your Phrase,
,shamir_phrase_confirm_desc,Select words below in the order of your share phrase to confirm that you have kept it properly.,
,shamir_phrase_verify_success_title,Verify Successful,
,shamir_phrase_verify_success_desc1,"The seed phrase of this share was verified successfully, now proceed to the next share. ",P0
,shamir_phrase_verify_success_desc2,Touch the button below and hand over to the second share custodian who keeps share number 2.,
,shamir_phrase_not_match_title,Phrase does not match,
,shamir_phrase_not_match_desc,The phrase order is incorrect. Please check your backup and try again,
,shamir_phrase_cancel_create_title,Cancel Create Wallet?,
,shamir_phrase_cancel_create_desc,Are you sure you want to cancel the process? The confirmed shares will be lost after cancelling.,
,shamir_phrase_continue_btn,Continue,
,shamir_phrase_cancel_create_btn,Cancel Create,
import wallet/single import,import_wallet_phrase_words_title,Phrase Words Amount,
,import_wallet_phrase_12words,12 Words,
,import_wallet_phrase_18words,18 Words,
,import_wallet_phrase_24words,24 Words,
,import_wallet_phrase_20words,20 Words,
,import_wallet_phrase_33words,33 Words,
,import_wallet_phrase_title,Import Your Phrase,
,import_wallet_phrase_desc,Write down your seed phrase in the blanks below,
,import_wallet_phrase_clear_btn,Clear,
,import_wallet_invalid_phrase_title,Invalid Seed Phrase,P0
,import_wallet_invalid_phrase_desc,The phrase you typed is invalid. Please check your backup and try again,
import wallet/SSB,import_wallet_ssb_title,share,
,import_wallet_ssb_desc,Write down your 20-words seed phrase of share #1 in the blanks below,
,import_wallet_ssb_incorrect_title,Incorrect Share,
,import_wallet_ssb_repeat_desc,"Share already entered, please enter a different share.",
,import_wallet_ssb_notbelong_desc,The share you entered is not belong to this backup. Please check your backup and try again.,
,import_wallet_ssb_cancel_title,Cancel Import Wallet?,
,import_wallet_ssb_cancel_desc,You will be required to re-enter all the shares after canceling.,
connect wallet,connect_wallet_title,Connect Wallet,
,connect_wallet_desc,Scan the QR code with your software wallet,
,connect_wallet_xpub_qrformat,QR Code Format,
,connect_wallet_xpub_addresstype,Address Type,
device setting,device_setting_mid_btn,Device Settings,
,device_setting_wallet_setting_title,Wallet Settings,
,device_setting_wallet_setting_desc,Name / Passcode / Passphrase...,
,device_setting_system_setting_title,System Settings,
,device_setting_system_setting_desc,Language / Screen / Reset...,
,device_setting_connection_title,Connection,
,device_setting_connection_desc,USB / Bluetooth / SD Card...,
,device_setting_about_title,About,
,device_setting_about_desc,M-1.2.0,
,wallet_settings_mid_btn,Wallet Settings,
,wallet_setting_passcode,Fingerprint & Passcode,
,wallet_setting_passphrase,Passphrase,
,wallet_setting_seed_phrase,Seed Phrase Check,P0
,wallet_setting_add_wallet,Add Wallet,
,fingerprint_passcode_mid_btn,Fingerprint & Passcode,
,fingerprint_passcode_fingerprint_setting,Fingerprint Settings,
,fingerprint_passcode_reset_passcode,Reset Passcode,
,change_passcode_mid_btn,Enter Passcode,
,set_passcode_title,Set a PIN Code,
,set_passcode_desc,This PIN code will be used to unlock your wallet and sign transactions.,
,change_passcode_warning_title,Remember your Passcode,
,change_passcode_warning_desc,"If you forget it, you’ll have to verify the seed phrase of this wallet to reset the passcode.",P0
,repeat_passcode_title,Repeat the PIN Code,
,repeat_passcode_desc,Repeat and confirm the PIN code you’ve just typed.,
,change_passcode_reset_title,"Resetting, Keep Screen ON",
,change_passcode_reset_desc,Writing Secure Element...,
,change_passcode_reset_success_title,Reset Successful,
,change_passcode_reset_success_desc,Your passcode has been reset successfully.,
,passphrase_enter_passcode,Passphrase,
,passphrase_access_switch_title,Passphrase Quick Access,
,passphrase_access_switch_desc,Display a shortcut entry for Passphrase when powered on,
,passphrase_enter_input,Input passphrase,
,passphrase_enter_repeat,Repeat passphrase,
,passphrase_learn_more_title,What is Passphrase?,
,passphrase_learn_more_desc1,The passphrase is an additional layer of security on top of your backup.,
,passphrase_learn_more_desc2,Entering a different passphrase will always generate a different wallet.,
,passphrase_learn_more_desc3,To restore your wallet you need both the passphrase and backup.,
,passphrase_learn_more_desc4,"If you forget your passphrase, you can no longer access your coins.",
,passphrase_learn_more_link,Learn More,
,passphrase_learn_more_qr_title,What is Passphrase?,
,passphrase_learn_more_qr_link,https://keyst.one/t/3rd/passphrase,
,seed_check_mid_btn,Seed Phrase Check,
,seed_check_single_phrase,Single Secret Phrase,
,seed_check_share_phrase,Secret Sharing Backup,
,seed_check_single_phrase_title,Enter Your Phrase,
,seed_check_share_phrase_title,Enter your phrase to verify your current wallet seed phrase.,P0
,seed_check_wait_verify,Verifying,
,seed_check_verify_match_desc,Seed phrase matches.,P0
,seed_check_verify_not_match_title,Verify Failed,
,seed_check_verify_not_match_desc,Invalid seed phrase. Please try again.,P0
home,home_more_connect_wallet,Connect Software Wallet,
,home_more_device_setting,Device Settings,
Receive,receive_btc_more_t,Tutorial,
,receive_btc_more_t_title1,What are the three different address formats for BTC?,
,receive_btc_more_t_desc1,"Bitcoin (BTC) uses three address formats for receiving funds:
1. Native SegWit is the most efficient and secure Bitcoin address format. It provides cost savings and improved security compared to other traditional address formats,typically starting with ""bc1""
2. Legacy address format is one of the earliest versions of Bitcoin, typically starting with ""1""
3. Nested SegWit is a solution designed to facilitate the transition to Native SegWit in a smooth manner, typically starting with ""3""",
,receive_btc_more_t_link1,Learn More,
,receive_btc_more_t_qr_title1,What are the three different address formats for BTC?,
,receive_btc_more_t_qr_link1,https://keyst.one/t/3rd/faq,
,receive_btc_more_t_title2,Can the three different address formats be used to transfer funds to each other?,
,receive_btc_more_t_desc2,"Yes, the three distinct Bitcoin address formats can be used for transferring funds among each other. However, it’s important to keep in mind the following aspects:
1. Differing transaction fees: The choice of address format can influence transaction fees, with Native SegWit addresses generally having lower fees.
2. Wallet and exchange compatibility: Make sure that the wallet or exchange you are using supports your chosen address format. Some wallets may only be compatible with specific address formats.",
,receive_btc_more_t_link2,Learn More,
,receive_btc_more_t_qr_title2,Can the three different address formats be used to transfer funds to each other?,
,receive_btc_more_t_qr_link2,https://keyst.one/t/3rd/faq,
,receive_btc_more_t_title3,Advantages of Avoiding Address Reuse,
,receive_btc_more_t_desc3,"1. Privacy: Reusing addresses increases transaction traceability, endangering privacy. New addresses help maintain transaction privacy.
2. Transaction Efficiency: Multiple UTXOs linked to one address can raise costs for consolidation, impacting wallet efficiency.
3. Security: Repeated address use heightens the risk of private key exposure, potentially leading to losses if compromised.
In short, not reusing addresses safeguards privacy, optimizes transactions, and reduces security risks within the UTXO model.",
,receive_btc_more_t_link3,Learn More,
,receive_btc_more_t_qr_title3,Advantages of Avoiding Address Reuse,
,receive_btc_more_t_qr_link3,https://keyst.one/t/3rd/faq,
,receive_eth_more_t,Tutorial,
,receive_eth_more_t_title1,"Exploring Differences: Standard, Ledger Live, and Legacy Derivation Paths in Ethereum",
,receive_eth_more_t_desc1,"1. Standard Path: This path is widely employed by numerous software wallets for address generation. Examples of such wallets encompass MetaMask, Rabby, BitKeep, and Core Wallet.
2. Ledger Live: Choose this path if you intend to import a seed phrase from Ledger Live. Please note that Keystone supports synchronizing only the initial 10 addresses using this format.
3. Ledger Legacy: Transition to this path if you manage your digital assets with Ledger Legacy",P0
,receive_eth_more_t_link1,Learn More,
,receive_eth_more_t_qr_title1,"Exploring Differences: Standard, Ledger Live, and Legacy Derivation Paths in Ethereum",
,receive_eth_more_t_qr_link1,https://keyst.one/t/3rd/faq,
Connect,connect_bw_t,Tutorial,
,connect_bw_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,
,connect_bw_title,BlueWallet,
,connect_bw_link,https://keyst.one/t/3rd/bw,
,connect_bw_qr_title,BlueWallet,
,connect_bw_qr_link,https://keyst.one/t/3rd/bw,
,connect_mm_t,Tutorial,
,connect_mm_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,
,connect_mm_title,MetaMask,
,connect_mm_link,https://keyst.one/t/3rd/mm,
,connect_mm_title2,MetaMask Mobile,
,connect_mm_link2,https://keyst.one/t/3rd/mmm,
,connect_mm_qr_title,MetaMask,
,connect_mm_qr_link,https://keyst.one/t/3rd/mm,
,connect_mm_qr_title2,MetaMask Mobile,
,connect_mm_qr_link2,https://keyst.one/t/3rd/mmm,
,connect_okx_t,Tutorial,
,connect_okx_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,
,connect_okx_title,OKX Wallet (Extension),
,connect_okx_link,https://keyst.one/t/3rd/okx,
,connect_okx_title2,OKX Wallet (Mobile),
,connect_okx_link2,https://keyst.one/t/3rd/okxm,
,connect_okx_qr_title,OKX Wallet (Extension),
,connect_okx_qr_link,https://keyst.one/t/3rd/okx,
,connect_okx_qr_title2,OKX Wallet (Mobile),
,connect_okx_qr_link2,https://keyst.one/t/3rd/okxm,
,connect_keyst_app_t,Tutorial,
,connect_keyst_app_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,
,connect_keyst_app_title,Keystone Companion App,
,connect_keyst_app_link,https://keyst.one/t/3rd/keystone,
,connect_keyst_app_qr_title,Keystone Companion App,
,connect_keyst_app_qr_link,https://keyst.one/t/3rd/keystone,
,connect_rabby_t,Tutorial,
,connect_rabby_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,
,connect_rabby_title,Rabby,
,connect_rabby_link,https://keyst.one/t/3rd/rabby,
,connect_rabby_qr_title,Rabby,
,connect_rabby_qr_link,https://keyst.one/t/3rd/rabby,
,connect_block_t,Tutorial,
,connect_block_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,
,connect_block_title,BlockWallet,
,connect_block_link,https://keyst.one/t/3rd/block,
,connect_block_qr_title,BlockWallet,
,connect_block_qr_link,https://keyst.one/t/3rd/block,
,connect_safe_t,Tutorial,
,connect_safe_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,
,connect_safe_title,Safe,
,connect_safe_link,https://keyst.one/t/3rd/safe,
,connect_safe_title2,Safe Mobile,
,connect_safe_link2,https://keyst.one/t/3rd/safem,
,connect_safe_qr_title,Safe,
,connect_safe_qr_link,https://keyst.one/t/3rd/safe,
,connect_safe_qr_title2,Safe Mobile,
,connect_safe_qr_link2,https://keyst.one/t/3rd/safem,
,connect_zapper_t,Tutorial,
,connect_zapper_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,
,connect_zapper_title,Zapper,
,connect_zapper_link,https://keyst.one/t/3rd/zapper,
,connect_zapper_qr_title,Zapper,
,connect_zapper_qr_link,https://keyst.one/t/3rd/zapper,
,connect_yearn_t,Tutorial,
,connect_yearn_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,
,connect_yearn_title,Yearn,
,connect_yearn_link,https://keyst.one/t/3rd/yearn,
,connect_yearn_qr_title,Yearn,
,connect_yearn_qr_link,https://keyst.one/t/3rd/yearn,
,connect_sushi_t,Tutorial,
,connect_sushi_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,
,connect_sushi_title,SushiSwap,
,connect_sushi_link,https://keyst.one/t/3rd/sushi,
,connect_sushi_qr_title,SushiSwap,
,connect_sushi_qr_link,https://keyst.one/t/3rd/sushi,
Decoding Transaction,tx_details_btc_change_title,Change Address,
,tx_details_btc_change_desc,"BTC transactions, based on the UTXO mechanism, allocate some assets to a change address during transfers. This address is generated by the software wallet for anonymity and privacy purposes. You don't need to worry since the change address belongs to your own account, and its amount will be used automatically in subsequent transactions.",
,tx_details_btc_change_link,Learn More,
,tx_details_eth_decoding_link,learn More,
,tx_details_eth_decoding_qr_title,Decoding DeFi Transactions,
,tx_details_eth_decoding_qr_link,https://keyst.one/t/3rd/ddt,
