VIEW,ID(0.0.1),en,优先级,这一列筛选“新增修改”,
Connect,connect_bw_t,Tutorial,P2,,
,connect_bw_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,P2,,
,connect_bw_title,BlueWallet (Mobile),P2,,
,connect_bw_link,https://keyst.one/t/3rd/bw,P2,,
,connect_bw_qr_title,BlueWallet (Mobile),P2,,
,connect_bw_qr_link,https://keyst.one/t/3rd/bw,P2,,
,connect_mm_t,Tutorial,P2,,
,connect_mm_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,P2,,
,connect_mm_title,MetaMask (Extension),P2,,
,connect_mm_link,https://keyst.one/t/3rd/mm,P2,,
,connect_mm_title2,MetaMask (Mobile),P2,新增修改,
,connect_mm_link2,https://keyst.one/t/3rd/mmm,P2,,
,connect_mm_qr_title,MetaMask (Extension),P2,,
,connect_mm_qr_link,https://keyst.one/t/3rd/mm,P2,,
,connect_mm_qr_title2,MetaMask Mobile,P2,,
,connect_mm_qr_link2,https://keyst.one/t/3rd/mmm,P2,,
,connect_okx_t,Tutorial,P2,,
,connect_okx_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,P2,,
,connect_okx_title,OKX Wallet (Extension),P2,,
,connect_okx_link,https://keyst.one/t/3rd/okx,P2,,
,connect_okx_title2,OKX Wallet (Mobile),P2,,
,connect_okx_link2,https://keyst.one/t/3rd/okxm,P2,,
,connect_okx_qr_title,OKX Wallet (Extension),P2,,
,connect_okx_qr_link,https://keyst.one/t/3rd/okx,P2,,
,connect_okx_qr_title2,OKX Wallet (Mobile),P2,,
,connect_okx_qr_link2,https://keyst.one/t/3rd/okxm,P2,,
,connect_keyst_app_t,Tutorial,P2,,
,connect_keyst_app_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,P2,,
,connect_keyst_app_title,Keystone Companion App,P2,,
,connect_keyst_app_link,https://keyst.one/t/3rd/keystone,P2,,
,connect_keyst_app_qr_title,Keystone Companion App,P2,,
,connect_keyst_app_qr_link,https://keyst.one/t/3rd/keystone,P2,,
,connect_rabby_t,Tutorial,P2,,
,connect_rabby_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,P2,,
,connect_rabby_title,Rabby (Extension),P2,,
,connect_rabby_link,https://keyst.one/t/3rd/rabby,P2,,
,connect_rabby_qr_title,Rabby (Extension),P2,,
,connect_rabby_qr_link,https://keyst.one/t/3rd/rabby,P2,,
,connect_block_t,Tutorial,P2,,
,connect_block_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,P2,,
,connect_block_title,BlockWallet (Extension),P2,,
,connect_block_link,https://keyst.one/t/3rd/block,P2,,
,connect_block_qr_title,BlockWallet (Extension),P2,,
,connect_block_qr_link,https://keyst.one/t/3rd/block,P2,,
,connect_safe_t,Tutorial,P2,,
,connect_safe_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,P2,,
,connect_safe_title,Safe (Web),P2,,
,connect_safe_link,https://keyst.one/t/3rd/safe,P2,,
,connect_safe_title2,Safe (Mobile),P2,,
,connect_safe_link2,https://keyst.one/t/3rd/safem,P2,,
,connect_safe_qr_title,Safe (Web),P2,,
,connect_safe_qr_link,https://keyst.one/t/3rd/safe,P2,,
,connect_safe_qr_title2,Safe Mobile,P2,,
,connect_safe_qr_link2,https://keyst.one/t/3rd/safem,P2,,
,connect_zapper_t,Tutorial,P2,,
,connect_zapper_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,P2,,
,connect_zapper_title,Zapper,P2,,
,connect_zapper_link,https://keyst.one/t/3rd/zapper,P2,,
,connect_zapper_qr_title,Zapper,P2,,
,connect_zapper_qr_link,https://keyst.one/t/3rd/zapper,P2,,
,connect_yearn_t,Tutorial,P2,,
,connect_yearn_desc,Please use your laptop or mobile to open the link below for detailed tutorials on how to use Keystone with certain chain specific companion software wallet.,P2,,
,connect_yearn_title,Yearn,P2,,
,connect_yearn_link,https://keyst.one/t/3rd/yearn,P2,,
,connect_yearn_qr_title,Yearn,P2,,
